week_start,store,category,price,discount_pct,marketing_spend,competitor_price_idx,avg_temp_c,is_holiday,stockout,units_sold,revenue,lag_1_units,lag_1_revenue,lag_2_units,lag_2_revenue,lag_4_units,lag_4_revenue,lag_8_units,lag_8_revenue,ma_4_units,ma_8_units
2023-04-17,Store_A,Beverages,3.48,0,4702.37,0.968,13.6,0,0,829,2881.63,716,2252.14,873,2813.94,804,2294.06,755,2379.6,781.25,826.375
2023-04-24,Store_A,Beverages,3.25,0,4257.76,0.976,17.3,0,0,878,2854.56,829,2881.63,716,2252.14,707,2271.03,818,2510.41,824,833.875
2023-05-01,Store_A,Beverages,3.33,0,2978.74,0.964,16.2,0,0,652,2173.36,878,2854.56,829,2881.63,873,2813.94,806,2502.29,768.75,814.625
2023-05-08,Store_A,Beverages,3.09,0,3475.13,0.981,17.8,0,0,786,2427.13,652,2173.36,878,2854.56,716,2252.14,1058,3188.85,786.25,780.625
2023-05-15,Store_A,Beverages,3.3,0,4929.02,0.98,17.5,0,0,1018,3362.49,786,2427.13,652,2173.36,829,2881.63,804,2294.06,833.5,807.375
2023-05-22,Store_A,Beverages,3.17,0,3133.67,0.988,19.1,0,0,766,2431.51,1018,3362.49,786,2427.13,878,2854.56,707,2271.03,805.5,814.75
2023-05-29,Store_A,Beverages,3.32,0,4578,0.999,21.9,0,0,1027,3407.88,766,2431.51,1018,3362.49,652,2173.36,873,2813.94,899.25,834
2023-06-05,Store_A,Beverages,3.33,0,5250.38,1.004,20.2,0,0,857,2851.91,1027,3407.88,766,2431.51,786,2427.13,716,2252.14,917,851.625
2023-06-12,Store_A,Beverages,3.45,16.6,5857.23,0.995,22.7,0,0,1316,3785.11,857,2851.91,1027,3407.88,1018,3362.49,829,2881.63,991.5,912.5
2023-06-19,Store_A,Beverages,3.44,0,4966.02,1.007,22.7,0,0,890,3060.11,1316,3785.11,857,2851.91,766,2431.51,878,2854.56,1022.5,914
2023-06-26,Store_A,Beverages,3.41,0,5139.49,1.001,22.6,0,0,1046,3566.14,890,3060.11,1316,3785.11,1027,3407.88,652,2173.36,1027.25,963.25
2023-07-03,Store_A,Beverages,3.29,5.5,4898.05,1.002,22.2,0,0,1125,3501.85,1046,3566.14,890,3060.11,857,2851.91,786,2427.13,1094.25,1005.625
2023-07-10,Store_A,Beverages,3.39,8.9,5901.18,0.991,22,0,0,1402,4330.27,1125,3501.85,1046,3566.14,1316,3785.11,1018,3362.49,1115.75,1053.625
2023-07-17,Store_A,Beverages,3.56,11,5939.03,0.975,22.7,0,1,852,2697.61,1402,4330.27,1125,3501.85,890,3060.11,766,2431.51,1106.25,1064.375
2023-07-24,Store_A,Beverages,3.49,0,3583.91,0.977,23.9,0,0,991,3457.46,852,2697.61,1402,4330.27,1046,3566.14,1027,3407.88,1092.5,1059.875
2023-07-31,Store_A,Beverages,3.38,0,3032.9,0.969,21.5,0,0,791,2674.19,991,3457.46,852,2697.61,1125,3501.85,857,2851.91,1009,1051.625
2023-08-07,Store_A,Beverages,3.48,0,3856.58,0.988,21.5,0,0,697,2424.01,791,2674.19,991,3457.46,1402,4330.27,1316,3785.11,832.75,974.25
2023-08-14,Store_A,Beverages,3.52,0,4197.24,0.983,18.9,0,0,874,3079.52,697,2424.01,791,2674.19,852,2697.61,890,3060.11,838.25,972.25
2023-08-21,Store_A,Beverages,3.68,0,3278.37,0.984,20.4,0,0,659,2425.06,874,3079.52,697,2424.01,991,3457.46,1046,3566.14,755.25,923.875
2023-08-28,Store_A,Beverages,3.59,7.5,4863.97,0.977,19.2,0,1,664,2206.26,659,2425.06,874,3079.52,791,2674.19,1125,3501.85,723.5,866.25
2023-09-04,Store_A,Beverages,3.48,0,3233.91,0.956,16.2,0,0,665,2316.17,664,2206.26,659,2425.06,697,2424.01,1402,4330.27,715.5,774.125
2023-09-11,Store_A,Beverages,3.44,0,4294.65,0.963,15.6,0,0,675,2318.65,665,2316.17,664,2206.26,874,3079.52,852,2697.61,665.75,752
2023-09-18,Store_A,Beverages,3.46,0,4640.82,0.959,13.9,0,0,671,2319.34,675,2318.65,665,2316.17,659,2425.06,991,3457.46,668.75,712
2023-09-25,Store_A,Beverages,3.71,0,4389.83,0.957,12,0,0,721,2672.4,671,2319.34,675,2318.65,664,2206.26,791,2674.19,683,703.25
2023-10-02,Store_A,Beverages,3.71,0,2826.33,0.949,14.3,0,0,454,1684.06,721,2672.4,671,2319.34,665,2316.17,697,2424.01,630.25,672.875
2023-10-09,Store_A,Beverages,3.46,0,2842.43,0.94,10.3,0,0,627,2172.53,454,1684.06,721,2672.4,675,2318.65,874,3079.52,618.25,642
2023-10-16,Store_A,Beverages,3.39,0,4364.79,0.948,11.8,0,0,725,2458.87,627,2172.53,454,1684.06,671,2319.34,659,2425.06,631.75,650.25
2023-10-23,Store_A,Beverages,3.79,21.8,5088.64,0.963,7.3,0,0,885,2624.33,725,2458.87,627,2172.53,721,2672.4,664,2206.26,672.75,677.875
2023-10-30,Store_A,Beverages,3.29,0,4549.11,0.963,7.1,0,0,856,2815.39,885,2624.33,725,2458.87,454,1684.06,665,2316.17,773.25,701.75
2023-11-06,Store_A,Beverages,3.69,0,3439.07,0.966,8.6,1,0,879,3247.12,856,2815.39,885,2624.33,627,2172.53,675,2318.65,836.25,727.25
2023-11-13,Store_A,Beverages,3.76,19.5,5254.17,0.962,5.6,0,0,1012,3057.8,879,3247.12,856,2815.39,725,2458.87,671,2319.34,908,769.875
2023-11-20,Store_A,Beverages,3.6,0,4878.89,0.958,5,0,0,1011,3636.22,1012,3057.8,879,3247.12,885,2624.33,721,2672.4,939.5,806.125
2023-11-27,Store_A,Beverages,3.59,17.4,5019.69,0.969,5.6,0,0,935,2772.08,1011,3636.22,1012,3057.8,856,2815.39,454,1684.06,959.25,866.25
2023-12-04,Store_A,Beverages,3.66,0,4528.51,0.976,1.9,1,0,998,3654.68,935,2772.08,1011,3636.22,879,3247.12,627,2172.53,989,912.625
2023-12-11,Store_A,Beverages,3.75,0,5222.69,0.979,2.5,1,0,1003,3763.2,998,3654.68,935,2772.08,1012,3057.8,725,2458.87,986.75,947.375
2023-12-18,Store_A,Beverages,3.72,0,3888.84,0.969,1.1,1,1,690,2567.59,1003,3763.2,998,3654.68,1011,3636.22,885,2624.33,906.5,923
2023-12-25,Store_A,Beverages,3.57,0,3243.64,0.977,1.5,1,0,813,2903.43,690,2567.59,1003,3763.2,935,2772.08,856,2815.39,876,917.625
2024-01-01,Store_A,Beverages,3.85,0,3567.34,0.963,1.1,0,0,482,1857.45,813,2903.43,690,2567.59,998,3654.68,879,3247.12,747,868
2024-01-08,Store_A,Beverages,4.01,0,3621.96,0.986,4.7,0,0,533,2136.63,482,1857.45,813,2903.43,1003,3763.2,1012,3057.8,629.5,808.125
2024-01-15,Store_A,Beverages,3.84,0,3871.83,0.97,2.6,0,0,620,2378.63,533,2136.63,482,1857.45,690,2567.59,1011,3636.22,612,759.25
2024-01-22,Store_A,Beverages,3.67,7,6048.7,0.965,2.4,0,0,931,3175.5,620,2378.63,533,2136.63,813,2903.43,935,2772.08,641.5,758.75
2024-01-29,Store_A,Beverages,3.85,19.6,5957.81,0.954,3.3,0,0,812,2510.01,931,3175.5,620,2378.63,482,1857.45,998,3654.68,724,735.5
2024-02-05,Store_A,Beverages,3.9,14.1,4227.61,0.955,5.7,0,0,735,2461.21,812,2510.01,931,3175.5,533,2136.63,1003,3763.2,774.5,702
2024-02-12,Store_A,Beverages,4.05,21,5540.74,0.987,4,0,0,800,2556.96,735,2461.21,812,2510.01,620,2378.63,690,2567.59,819.5,715.75
2024-02-19,Store_A,Beverages,3.94,0,4209.71,0.981,6.9,0,0,628,2474.68,800,2556.96,735,2461.21,931,3175.5,813,2903.43,743.75,692.625
2024-02-26,Store_A,Beverages,3.91,17,5458.61,0.999,5.7,0,0,922,2991.49,628,2474.68,800,2556.96,812,2510.01,482,1857.45,771.25,747.625
2024-03-04,Store_A,Beverages,3.94,0,4550.88,0.992,9.6,0,0,571,2248.69,922,2991.49,628,2474.68,735,2461.21,533,2136.63,730.25,752.375
2024-03-11,Store_A,Beverages,3.69,0,4736.91,0.986,5.6,0,0,752,2774.52,571,2248.69,922,2991.49,800,2556.96,620,2378.63,718.25,768.875
2024-03-18,Store_A,Beverages,3.92,0,3039.4,0.994,12.2,0,0,626,2453.42,752,2774.52,571,2248.69,628,2474.68,931,3175.5,717.75,730.75
2024-03-25,Store_A,Beverages,3.9,0,4555.47,0.986,10.2,0,0,652,2543.73,626,2453.42,752,2774.52,922,2991.49,812,2510.01,650.25,710.75
2024-04-01,Store_A,Beverages,3.77,0,4896.66,0.982,12.1,0,0,771,2909.29,652,2543.73,626,2453.42,571,2248.69,735,2461.21,700.25,715.25
2024-04-08,Store_A,Beverages,4.02,0,3045.77,0.979,13.5,0,0,632,2540.88,771,2909.29,652,2543.73,752,2774.52,800,2556.96,670.25,694.25
2024-04-15,Store_A,Beverages,4.14,0,4527.12,0.962,12.4,0,0,574,2379.09,632,2540.88,771,2909.29,626,2453.42,628,2474.68,657.25,687.5
2024-04-22,Store_A,Beverages,3.97,0,3326.3,0.953,18.4,0,0,610,2422.11,574,2379.09,632,2540.88,652,2543.73,922,2991.49,646.75,648.5
2024-04-29,Store_A,Beverages,4.23,0,4518.45,0.936,19.8,0,0,680,2878.4,610,2422.11,574,2379.09,771,2909.29,571,2248.69,624,662.125
2024-05-06,Store_A,Beverages,4.03,19.1,6551.49,0.939,18.8,0,1,810,2638.28,680,2878.4,610,2422.11,632,2540.88,752,2774.52,668.5,669.375
2024-05-13,Store_A,Beverages,4.14,0,4301.89,0.937,18.5,0,0,629,2602.96,810,2638.28,680,2878.4,574,2379.09,626,2453.42,682.25,669.75
2024-05-20,Store_A,Beverages,4.11,11,5809.25,0.93,19.2,0,0,845,3094.2,629,2602.96,810,2638.28,610,2422.11,652,2543.73,741,693.875
2024-05-27,Store_A,Beverages,4.26,0,5215.55,0.934,18.6,0,0,792,3377.31,845,3094.2,629,2602.96,680,2878.4,771,2909.29,769,696.5
2024-06-03,Store_A,Beverages,4.09,0,3265.06,0.95,19.4,0,0,649,2655.2,792,3377.31,845,3094.2,810,2638.28,632,2540.88,728.75,698.625
2024-06-10,Store_A,Beverages,4.18,0,4557.35,0.967,21.2,0,0,674,2816.42,649,2655.2,792,3377.31,629,2602.96,574,2379.09,740,711.125
2024-06-17,Store_A,Beverages,4.11,0,4628.72,0.968,20.6,0,0,796,3268.87,674,2816.42,649,2655.2,845,3094.2,610,2422.11,727.75,734.375
2024-06-24,Store_A,Beverages,4.14,0,5124.1,0.962,20.9,0,0,867,3591.96,796,3268.87,674,2816.42,792,3377.31,680,2878.4,746.5,757.75
2024-07-01,Store_A,Beverages,4.04,0,5046.23,0.969,20.5,0,0,782,3161.81,867,3591.96,796,3268.87,649,2655.2,810,2638.28,779.75,754.25
2024-07-08,Store_A,Beverages,4.21,6.5,4769.32,0.957,21.6,0,0,783,3080.11,782,3161.81,867,3591.96,674,2816.42,629,2602.96,807,773.5
2024-07-15,Store_A,Beverages,4.18,0,4708.9,0.962,22.7,0,0,774,3234.14,783,3080.11,782,3161.81,796,3268.87,845,3094.2,801.5,764.625
2024-07-22,Store_A,Beverages,4.23,0,4015.7,0.957,22.4,0,0,703,2974.07,774,3234.14,783,3080.11,867,3591.96,792,3377.31,760.5,753.5
2024-07-29,Store_A,Beverages,4.28,0,4577.03,0.961,21.1,0,0,737,3157.03,703,2974.07,774,3234.14,782,3161.81,649,2655.2,749.25,764.5
2024-08-05,Store_A,Beverages,4.45,0,4439.76,0.971,18.3,0,0,663,2950.83,737,3157.03,703,2974.07,783,3080.11,674,2816.42,719.25,763.125
2024-08-12,Store_A,Beverages,4.18,0,4124.38,0.975,18.3,0,0,721,3012.07,663,2950.83,737,3157.03,774,3234.14,796,3268.87,706,753.75
2024-08-19,Store_A,Beverages,4.31,0,4032.62,0.969,20.4,0,0,582,2506.24,721,3012.07,663,2950.83,703,2974.07,867,3591.96,675.75,718.125
2024-08-26,Store_A,Beverages,4.29,0,3728.58,0.976,16,0,0,575,2467.49,582,2506.24,721,3012.07,737,3157.03,782,3161.81,635.25,692.25
2024-09-02,Store_A,Beverages,4.53,0,4690.52,0.962,15.4,0,0,667,3021.35,575,2467.49,582,2506.24,663,2950.83,783,3080.11,636.25,677.75
2024-09-09,Store_A,Beverages,4.36,23.6,6181.75,0.981,18,0,0,1041,3462.97,667,3021.35,575,2467.49,721,3012.07,774,3234.14,716.25,711.125
2024-09-16,Store_A,Beverages,4.11,0,3300.68,0.999,15.9,0,0,693,2846.63,1041,3462.97,667,3021.35,582,2506.24,703,2974.07,744,709.875
2024-09-23,Store_A,Beverages,4.56,8.5,4900.88,1.013,13.1,0,0,646,2694.06,693,2846.63,1041,3462.97,575,2467.49,737,3157.03,761.75,698.5
2024-09-30,Store_A,Beverages,4.25,0,4266.3,1.023,11.7,0,0,618,2627.57,646,2694.06,693,2846.63,667,3021.35,663,2950.83,749.5,692.875
2024-10-07,Store_A,Beverages,4.39,0,4699.03,1.005,10.3,0,0,468,2056.78,618,2627.57,646,2694.06,1041,3462.97,721,3012.07,606.25,661.25
2024-10-14,Store_A,Beverages,4.32,0,3700.22,1.013,8.5,0,0,543,2346.36,468,2056.78,618,2627.57,693,2846.63,582,2506.24,568.75,656.375
2024-10-21,Store_A,Beverages,4.24,0,4489.08,1.011,7.2,0,0,638,2702.31,543,2346.36,468,2056.78,646,2694.06,575,2467.49,566.75,664.25
2024-10-28,Store_A,Beverages,4.51,0,4498.95,1.032,7,0,0,653,2941.98,638,2702.31,543,2346.36,618,2627.57,667,3021.35,575.5,662.5
2024-11-04,Store_A,Beverages,4.35,0,3658.81,1.024,4.5,1,0,733,3187.32,653,2941.98,638,2702.31,468,2056.78,1041,3462.97,641.75,624
2024-11-11,Store_A,Beverages,4.34,16.1,5780.69,1.009,3.5,0,0,849,3091.54,733,3187.32,653,2941.98,543,2346.36,693,2846.63,718.25,643.5
2024-11-18,Store_A,Beverages,4.33,0,3802.74,1.006,6.3,0,0,551,2383.3,849,3091.54,733,3187.32,638,2702.31,646,2694.06,696.5,631.625
2024-11-25,Store_A,Beverages,4.48,0,5154.43,1.005,3.1,0,1,559,2505.69,551,2383.3,849,3091.54,653,2941.98,618,2627.57,673,624.25
2024-12-02,Store_A,Beverages,4.73,0,3827.02,0.991,1.8,1,0,655,3100.63,559,2505.69,551,2383.3,733,3187.32,468,2056.78,653.5,647.625
2024-12-09,Store_A,Beverages,4.39,0,5275.64,0.988,3.6,1,0,860,3771.73,655,3100.63,559,2505.69,849,3091.54,543,2346.36,656.25,687.25
2024-12-16,Store_A,Beverages,4.48,20.9,6031.92,0.992,1.8,1,0,1128,4000.16,860,3771.73,655,3100.63,551,2383.3,638,2702.31,800.5,748.5
2024-12-23,Store_A,Beverages,4.43,0,3236.54,0.996,-1.6,1,0,708,3135.91,1128,4000.16,860,3771.73,559,2505.69,653,2941.98,837.75,755.375
2023-01-02,Store_A,Essentials,5.25,0,2067.81,0.995,0.8,0,0,933,4901.59,,,,,,,,,,
2023-01-09,Store_A,Essentials,5.02,0,1897.34,0.994,1.6,0,0,685,3441.99,933,4901.59,,,,,,,,
2023-01-16,Store_A,Essentials,5.13,0,2089.27,0.995,4.8,0,0,735,3773.5,685,3441.99,933,4901.59,,,,,,
2023-01-23,Store_A,Essentials,5.05,0,1901.87,0.973,2.1,0,0,836,4222.74,735,3773.5,685,3441.99,,,,,797.25,
2023-01-30,Store_A,Essentials,4.85,0,1890.34,0.978,1.3,0,0,833,4037.87,836,4222.74,735,3773.5,933,4901.59,,,772.25,
2023-02-06,Store_A,Essentials,5.37,0,1707.77,0.973,6.1,0,0,876,4706.48,833,4037.87,836,4222.74,685,3441.99,,,820,
2023-02-13,Store_A,Essentials,5.19,0,2306.2,0.968,4.7,0,0,973,5051.45,876,4706.48,833,4037.87,735,3773.5,,,879.5,
2023-02-20,Store_A,Essentials,4.92,0,2632.63,0.98,5.2,0,0,837,4115.06,973,5051.45,876,4706.48,836,4222.74,,,879.75,838.5
2023-02-27,Store_A,Essentials,5.18,11.9,3415.35,0.996,5,0,0,1320,6031.12,837,4115.06,973,5051.45,833,4037.87,933,4901.59,1001.5,886.875
2023-03-06,Store_A,Essentials,5.18,0,2163.7,1.011,7,0,0,960,4973.47,1320,6031.12,837,4115.06,876,4706.48,685,3441.99,1022.5,921.25
2023-03-13,Store_A,Essentials,5.19,0,2507.18,1.018,7.3,0,0,958,4972.94,960,4973.47,1320,6031.12,973,5051.45,735,3773.5,1018.75,949.125
2023-03-20,Store_A,Essentials,5.18,0,2092.87,1.033,10.6,0,0,655,3393.89,958,4972.94,960,4973.47,837,4115.06,836,4222.74,973.25,926.5
2023-03-27,Store_A,Essentials,5.31,0,2594.14,1.026,11.8,0,0,943,5007.27,655,3393.89,958,4972.94,1320,6031.12,833,4037.87,879,940.25
2023-04-03,Store_A,Essentials,5.09,0,2563.16,1.041,12.2,0,0,911,4641.05,943,5007.27,655,3393.89,960,4973.47,876,4706.48,866.75,944.625
2023-04-10,Store_A,Essentials,5.31,0,2664.47,1.027,13.9,0,0,861,4569.85,911,4641.05,943,5007.27,958,4972.94,973,5051.45,842.5,930.625
2023-04-17,Store_A,Essentials,5.4,10.6,4142.34,1.021,14.1,0,0,1313,6341.74,861,4569.85,911,4641.05,655,3393.89,837,4115.06,1007,990.125
2023-04-24,Store_A,Essentials,5.3,11.6,3894.24,1.039,17.8,0,0,1425,6668.07,1313,6341.74,861,4569.85,943,5007.27,1320,6031.12,1127.5,1003.25
2023-05-01,Store_A,Essentials,5.47,10.4,3520.49,1.037,15.7,0,0,1120,5488.47,1425,6668.07,1313,6341.74,911,4641.05,960,4973.47,1179.75,1023.25
2023-05-08,Store_A,Essentials,5.13,0,1887.32,1.04,16.9,0,0,726,3725,1120,5488.47,1425,6668.07,861,4569.85,958,4972.94,1146,994.25
2023-05-15,Store_A,Essentials,5.37,0,2047.25,1.049,18.6,0,0,1053,5655.82,726,3725,1120,5488.47,1313,6341.74,655,3393.89,1081,1044
2023-05-22,Store_A,Essentials,5.24,0,2616.06,1.057,18.1,0,0,1042,5463.43,1053,5655.82,726,3725,1425,6668.07,943,5007.27,985.25,1056.375
2023-05-29,Store_A,Essentials,5.62,0,1764.26,1.071,21.2,0,0,688,3864.82,1042,5463.43,1053,5655.82,1120,5488.47,911,4641.05,877.25,1028.5
2023-06-05,Store_A,Essentials,5.41,0,2315.91,1.073,19.4,0,0,968,5240.71,688,3864.82,1042,5463.43,726,3725,861,4569.85,937.75,1041.875
2023-06-12,Store_A,Essentials,5.77,0,2739.99,1.075,20.9,0,0,853,4918.02,968,5240.71,688,3864.82,1053,5655.82,1313,6341.74,887.75,984.375
2023-06-19,Store_A,Essentials,5.37,0,2272.72,1.083,22.1,0,0,916,4918.8,853,4918.02,968,5240.71,1042,5463.43,1425,6668.07,856.25,920.75
2023-06-26,Store_A,Essentials,5.9,0,2888.4,1.084,20.9,0,0,1068,6296.99,916,4918.8,853,4918.02,688,3864.82,1120,5488.47,951.25,914.25
2023-07-03,Store_A,Essentials,5.36,0,1876.95,1.095,19.8,0,0,814,4366.84,1068,6296.99,916,4918.8,968,5240.71,726,3725,912.75,925.25
2023-07-10,Store_A,Essentials,5.62,0,2149.81,1.094,22.6,0,0,874,4911.48,814,4366.84,1068,6296.99,853,4918.02,1053,5655.82,918,902.875
2023-07-17,Store_A,Essentials,5.78,24.2,3903.52,1.088,23.7,0,0,1320,5782.41,874,4911.48,814,4366.84,916,4918.8,1042,5463.43,1019,937.625
2023-07-24,Store_A,Essentials,5.69,5.9,4432.07,1.088,20,0,0,1282,6856.4,1320,5782.41,874,4911.48,1068,6296.99,688,3864.82,1072.5,1011.875
2023-07-31,Store_A,Essentials,5.74,25,3266.44,1.096,22.1,0,0,1166,5021.94,1282,6856.4,1320,5782.41,814,4366.84,968,5240.71,1160.5,1036.625
2023-08-07,Store_A,Essentials,5.98,0,2757.15,1.09,20.7,0,0,727,4345.97,1166,5021.94,1282,6856.4,874,4911.48,853,4918.02,1123.75,1020.875
2023-08-14,Store_A,Essentials,5.71,0,2157.74,1.097,18.5,0,0,855,4884.1,727,4345.97,1166,5021.94,1320,5782.41,916,4918.8,1007.5,1013.25
2023-08-21,Store_A,Essentials,5.78,0,2069.2,1.098,20.1,0,0,801,4633.66,855,4884.1,727,4345.97,1282,6856.4,1068,6296.99,887.25,979.875
2023-08-28,Store_A,Essentials,5.92,0,2477.73,1.096,16.9,0,0,767,4539.32,801,4633.66,855,4884.1,1166,5021.94,814,4366.84,787.5,974
2023-09-04,Store_A,Essentials,5.94,0,1680.28,1.112,16.7,0,0,672,3992.66,767,4539.32,801,4633.66,727,4345.97,874,4911.48,773.75,948.75
2023-09-11,Store_A,Essentials,5.68,0,2618.69,1.112,14.3,0,0,710,4032.44,672,3992.66,767,4539.32,855,4884.1,1320,5782.41,737.5,872.5
2023-09-18,Store_A,Essentials,6.09,0,2173.12,1.093,14.1,0,0,925,5629.16,710,4032.44,672,3992.66,801,4633.66,1282,6856.4,768.5,827.875
2023-09-25,Store_A,Essentials,5.91,0,2010.95,1.073,14.4,0,0,896,5293.03,925,5629.16,710,4032.44,767,4539.32,1166,5021.94,800.75,794.125
2023-10-02,Store_A,Essentials,5.98,0,2431.12,1.077,11.7,0,0,720,4303.09,896,5293.03,925,5629.16,672,3992.66,727,4345.97,812.75,793.25
2023-10-09,Store_A,Essentials,5.61,0,2724.26,1.074,10.2,0,0,1045,5858.44,720,4303.09,896,5293.03,710,4032.44,855,4884.1,896.5,817
2023-10-16,Store_A,Essentials,6.08,0,2711.02,1.065,8.7,0,0,1012,6153.95,1045,5858.44,720,4303.09,925,5629.16,801,4633.66,918.25,843.375
2023-10-23,Store_A,Essentials,6.1,0,2597.93,1.056,8.1,0,0,903,5511.37,1012,6153.95,1045,5858.44,896,5293.03,767,4539.32,920,860.375
2023-10-30,Store_A,Essentials,6.07,0,1931.29,1.065,7,0,0,656,3978.72,903,5511.37,1012,6153.95,720,4303.09,672,3992.66,904,858.375
2023-11-06,Store_A,Essentials,5.87,0,2087.72,1.059,7.4,1,0,1101,6462.96,656,3978.72,903,5511.37,1045,5858.44,710,4032.44,918,907.25
2023-11-13,Store_A,Essentials,6.1,0,2635.08,1.044,4.4,0,0,983,5996.37,1101,6462.96,656,3978.72,1012,6153.95,925,5629.16,910.75,914.5
2023-11-20,Store_A,Essentials,6.01,0,2451.18,1.061,1.1,0,0,956,5746.66,983,5996.37,1101,6462.96,903,5511.37,896,5293.03,924,922
2023-11-27,Store_A,Essentials,6.19,0,2236.99,1.059,2.6,0,0,859,5315.86,956,5746.66,983,5996.37,656,3978.72,720,4303.09,974.75,939.375
2023-12-04,Store_A,Essentials,6.41,8.3,3275.05,1.07,2.2,1,0,1118,6574.65,859,5315.86,956,5746.66,1101,6462.96,1045,5858.44,979,948.5
2023-12-11,Store_A,Essentials,6.42,0,2096.86,1.087,3.5,1,0,907,5821.27,1118,6574.65,859,5315.86,983,5996.37,1012,6153.95,960,935.375
2023-12-18,Store_A,Essentials,5.98,0,2370.82,1.1,3.7,1,1,886,5294.76,907,5821.27,1118,6574.65,956,5746.66,903,5511.37,942.5,933.25
2023-12-25,Store_A,Essentials,6.1,0,2357.78,1.099,1.8,1,0,1148,6998.97,886,5294.76,907,5821.27,859,5315.86,656,3978.72,1014.75,994.75
2024-01-01,Store_A,Essentials,6.24,17.1,3329.76,1.11,2.1,0,0,1056,5457.48,1148,6998.97,886,5294.76,1118,6574.65,1101,6462.96,999.25,989.125
2024-01-08,Store_A,Essentials,6.37,0,2120.84,1.102,0.9,0,0,686,4367.07,1056,5457.48,1148,6998.97,907,5821.27,983,5996.37,944,952
2024-01-15,Store_A,Essentials,6.48,0,2205.66,1.097,1,0,0,589,3816.81,686,4367.07,1056,5457.48,886,5294.76,956,5746.66,869.75,906.125
2024-01-22,Store_A,Essentials,6.34,0,1493.77,1.097,2,0,0,477,3025.05,589,3816.81,686,4367.07,1148,6998.97,859,5315.86,702,858.375
2024-01-29,Store_A,Essentials,6.46,0,1675.73,1.088,0.9,0,0,611,3944.99,477,3025.05,589,3816.81,1056,5457.48,1118,6574.65,590.75,795
2024-02-05,Store_A,Essentials,6.35,0,2582.33,1.076,3.3,0,0,839,5325.13,611,3944.99,477,3025.05,686,4367.07,907,5821.27,629,786.5
2024-02-12,Store_A,Essentials,6.51,0,1861.16,1.072,7.8,0,0,642,4179.86,839,5325.13,611,3944.99,589,3816.81,886,5294.76,642.25,756
2024-02-19,Store_A,Essentials,6.62,0,2042.65,1.057,5.5,0,0,649,4294.16,642,4179.86,839,5325.13,477,3025.05,1148,6998.97,685.25,693.625
2024-02-26,Store_A,Essentials,6.38,0,2136,1.064,5.9,0,1,481,3066.38,649,4294.16,642,4179.86,611,3944.99,1056,5457.48,652.75,621.75
2024-03-04,Store_A,Essentials,6.34,0,2351.5,1.065,6.1,0,0,926,5871.28,481,3066.38,649,4294.16,839,5325.13,686,4367.07,674.5,651.75
