week_start,store,category,price,discount_pct,marketing_spend,competitor_price_idx,avg_temp_c,is_holiday,stockout
2025-01-27,Store_B,HomeCare,12.26,13.8,3046.93,1.01,2.5,0,0
2025-02-03,Store_B,HomeCare,12.27,0,1825.23,1.014,0.2,0,0
2025-02-10,Store_B,HomeCare,12.16,0,1973.05,1.025,2.7,0,0
2025-02-17,Store_B,HomeCare,12.51,7.6,3293.09,1.017,1.3,0,0
2024-12-30,Store_B,Seasonal,18.21,14.4,4779.87,1.005,-3.2,1,0
2025-01-06,Store_B,Seasonal,18.31,0,3753.67,1.003,-3.1,0,0
2025-01-13,Store_B,Seasonal,18.88,0,3014.41,1.013,0,0,0
2025-01-20,Store_B,Seasonal,17.72,0,3376.3,1.011,-0.8,0,0
2025-01-27,Store_B,Seasonal,17.91,0,3666.04,1.026,1.9,0,0
2025-02-03,Store_B,Seasonal,18.25,12.7,4976.85,1.037,3.6,0,0
2025-02-10,Store_B,Seasonal,18.64,0,3142.79,1.028,2.9,0,0
2025-02-17,Store_B,Seasonal,17.96,10.6,4612.56,1.035,5.2,0,0
2024-12-30,Store_C,Essentials,7.62,0,2075.37,1.003,3,1,0
2025-01-06,Store_C,Essentials,7.47,0,2175.96,0.987,8.5,0,0
2025-01-13,Store_C,Essentials,7.49,0,1817.15,1.005,8.3,0,0
2025-01-20,Store_C,Essentials,7.7,0,1901.09,1.005,7.5,0,0
2025-01-27,Store_C,Essentials,7.84,0,1885.55,0.985,6.4,0,0
2025-02-03,Store_C,Essentials,7.71,0,1973.5,0.986,5.4,0,0
2025-02-10,Store_C,Essentials,7.79,0,1992.94,0.979,7.5,0,0
2025-02-17,Store_C,Essentials,7.93,0,2146.81,0.988,8.4,0,0
2024-12-30,Store_C,Beverages,4.54,0,4023.6,0.996,2.7,1,0
2025-01-06,Store_C,Beverages,4.65,0,3124.42,1.005,7,0,0
2025-01-13,Store_C,Beverages,4.58,14.6,4380.86,0.99,5.6,0,0
2025-01-20,Store_C,Beverages,4.61,17.3,4278.88,0.977,7.2,0,0
2025-01-27,Store_C,Beverages,4.62,0,3680.3,0.959,7.8,0,0
2025-02-03,Store_C,Beverages,4.65,0,3337.87,0.958,6.1,0,0
2025-02-10,Store_C,Beverages,4.53,0,3702.68,0.95,8.7,0,0
2025-02-17,Store_C,Beverages,4.62,0,3658.71,0.951,8.8,0,0
2024-12-30,Store_C,Snacks,3.82,0,4054.3,1.006,8.7,1,0
2025-01-06,Store_C,Snacks,3.81,0,2921.79,1.001,4.7,0,0
2025-01-13,Store_C,Snacks,3.85,0,3452.45,1.003,6.1,0,0
2025-01-20,Store_C,Snacks,3.88,0,3524.62,0.997,8.8,0,0
2025-01-27,Store_C,Snacks,3.93,0,3817.33,0.988,8.9,0,0
2025-02-03,Store_C,Snacks,3.72,0,3527.98,0.978,4.3,0,0
2025-02-10,Store_C,Snacks,3.86,0,3379.29,0.98,7.5,0,0
2025-02-17,Store_C,Snacks,3.83,0,3085.48,0.987,12.4,0,0
2024-12-30,Store_C,HomeCare,12.01,0,2283.56,0.987,5.2,1,0
2025-01-06,Store_C,HomeCare,12.23,0,1793.59,0.988,6.4,0,0
2025-01-13,Store_C,HomeCare,12.25,0,1884.23,0.978,1.9,0,0
2025-01-20,Store_C,HomeCare,12.29,0,2032.13,0.99,5.6,0,0
2025-01-27,Store_C,HomeCare,11.99,0,2007.65,0.972,6.1,0,0
2025-02-03,Store_C,HomeCare,12.63,0,1798.24,0.988,8.1,0,0
2025-02-10,Store_C,HomeCare,12.71,0,1740.35,0.991,10.1,0,0
2025-02-17,Store_C,HomeCare,12.46,0,2166.69,0.985,8.5,0,0
2024-12-30,Store_C,Seasonal,18.21,0,3736.57,1.025,5.2,1,0
2025-01-06,Store_C,Seasonal,18.53,0,3003.7,1.03,4.6,0,0
2025-01-13,Store_C,Seasonal,18.04,18.9,4793.03,1.032,4.2,0,0
2025-01-20,Store_C,Seasonal,18.95,0,3114.86,1.054,7.2,0,0
2025-01-27,Store_C,Seasonal,18.58,0,3143.89,1.059,8.9,0,0
2025-02-03,Store_C,Seasonal,18.26,0,3381.44,1.061,6.2,0,0
2025-02-10,Store_C,Seasonal,18.52,11.8,5021.87,1.057,9.4,0,0
2025-02-17,Store_C,Seasonal,18.61,0,3706.57,1.051,10.6,0,0
